fund_code,fund_name,fund_family,share_class,fund_type,etf_symbol,etf_name,underlying_name,asset_class,mapping_score,mapping_confidence,mapping_method,etf_rows_valid,etf_median_amount_60d,executable
000008,嘉实中证500ETF联接A,嘉实中证500ETF联接,A,指数型-股票,159922,中证500ETF嘉实,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,3241,715010873.0,True
000051,华夏沪深300ETF联接A,华夏沪深300ETF联接,A,指数型-股票,510330,沪深300ETF华夏,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,3278,907123265.0,True
000071,华夏恒生ETF联接A,华夏恒生ETF联接,A,指数型-海外股票,159920,恒生ETF华夏,恒生,overseas,100.0,HIGH,name_underlying_issuer_v1,3337,359807905.0,True
000075,华夏恒生ETF联接现汇,华夏恒生ETF联接现汇,,指数型-海外股票,159920,恒生ETF华夏,恒生,overseas,100.0,HIGH,name_underlying_issuer_v1,3337,359807905.0,True
000076,华夏恒生ETF联接现钞,华夏恒生ETF联接现钞,,指数型-海外股票,159920,恒生ETF华夏,恒生,overseas,100.0,HIGH,name_underlying_issuer_v1,3337,359807905.0,True
000216,华安黄金ETF联接A,华安黄金ETF联接,A,指数型-其他,518880,黄金ETF华安,黄金,commodity,100.0,HIGH,name_underlying_issuer_v1,3153,3149346554.0,True
000218,国泰黄金ETF联接A,国泰黄金ETF联接,A,指数型-其他,518800,黄金ETF国泰,黄金,commodity,100.0,HIGH,name_underlying_issuer_v1,3153,491387485.5,True
000248,汇添富中证主要消费ETF联接A,汇添富中证主要消费ETF联接,A,指数型-股票,159928,消费ETF汇添富,消费,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,3118,315731886.0,True
000307,易方达黄金ETF联接A,易方达黄金ETF联接,A,指数型-其他,159934,黄金ETF易方达,黄金,commodity,100.0,HIGH,name_underlying_issuer_v1,3060,820085281.0,True
000373,华安中证细分医药ETF联接A,华安中证细分医药ETF联接,A,指数型-股票,512120,医药ETF华安,医药,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2632,12206605.0,True
000613,国寿安保沪深300ETF联接A,国寿安保沪深300ETF联接,A,指数型-股票,510380,沪深300ETF国寿,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1929,893691.0,True
000834,大成纳斯达克100ETF联接(QDII)A,大成纳斯达克100ETF联接,A,指数型-海外股票,159513,纳斯达克100ETF大成,纳斯达克100,overseas,100.0,HIGH,name_underlying_issuer_v1,719,178232818.0,True
000948,华夏沪港通恒生ETF联接A,华夏沪港通恒生ETF联接,A,指数型-股票,159920,恒生ETF华夏,恒生,overseas,100.0,HIGH,name_underlying_issuer_v1,3337,359807905.0,True
000950,易方达证券保险ETF联接A,易方达证券保险ETF联接,A,指数型-股票,512070,证券保险ETF易方达,证券保险,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2659,568412505.0,True
000961,天弘沪深300ETF联接A,天弘沪深300ETF联接,A,指数型-股票,515330,沪深300ETF天弘,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1588,18490457.0,True
000962,天弘中证500ETF联接A,天弘中证500ETF联接,A,指数型-股票,159820,中证500ETF天弘,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1429,14182160.5,True
001051,华夏上证50ETF联接A,华夏上证50ETF联接,A,指数型-股票,510050,上证50ETF华夏,上证50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,5201,2876115996.5,True
001052,华夏中证500ETF联接A,华夏中证500ETF联接,A,指数型-股票,512500,中证500ETF华夏,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2660,637545160.5,True
001064,广发中证环保ETF联接A,广发中证环保ETF联接,A,指数型-股票,512580,环保ETF广发,环保,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2269,13105387.5,True
001214,华泰柏瑞中证500ETF联接A,华泰柏瑞中证500ETF联接,A,指数型-股票,512510,中证500ETF华泰柏瑞,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2660,19267325.5,True
001237,博时上证50ETF联接A,博时上证50ETF联接,A,指数型-股票,510710,上证50ETF博时,上证50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2695,4201315.0,True
001241,国寿安保中证500ETF联接,国寿安保中证500ETF联接,,指数型-股票,510560,中证500ETF国寿,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2419,1778876.5,True
001344,易方达医药ETF联接A,易方达医药ETF联接,A,指数型-股票,512010,医药ETF易方达,医药,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2658,579795286.5,True
001455,景顺长城中证500ETF联接,景顺长城中证500ETF联接,,指数型-股票,159935,中证500ETF景顺,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2926,2839644.0,True
001539,嘉实中证金融地产ETF联接A,嘉实中证金融地产ETF联接,A,指数型-股票,512640,金融地产ETF嘉实,金融地产,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2397,5430631.0,True
