fund_code,fund_family_id,share_class,underlying_id,underlying_name,benchmark,asset_class,asset_sleeve,mapping_source,mapping_confidence,effective_from,effective_to,review_status,source_url,reviewer
000051,HUA_XIA,A,CSI300,沪深300,沪深300,equity_broad,CSI300,fund_company_disclosure,HIGH,2013-06-27,,APPROVED,https://fundf10.eastmoney.com/jjfl_000051.html,system
160706,JIA_SHI,A,CSI300,沪深300,沪深300,equity_broad,CSI300,fund_company_disclosure,HIGH,2007-02-26,,APPROVED,https://fundf10.eastmoney.com/jjfl_160706.html,system
000008,JIA_SHI,A,CSI500,中证500,中证500,equity_broad,CSI500,fund_company_disclosure,HIGH,2013-06-06,,APPROVED,https://fundf10.eastmoney.com/jjfl_000008.html,system
000962,TIAN_HONG,A,CSI500,中证500,中证500,equity_broad,CSI500,fund_company_disclosure,HIGH,2014-11-13,,APPROVED,https://fundf10.eastmoney.com/jjfl_000962.html,system
006486,Guangfa,A,CSI1000,中证1000,中证1000,equity_broad,CSI1000,fund_company_disclosure,HIGH,2018-11-21,,APPROVED,https://fundf10.eastmoney.com/jjfl_006486.html,system
016633,FUGUO,A,CSI1000,中证1000,中证1000,equity_broad,CSI1000,fund_company_disclosure,HIGH,2022-03-25,,APPROVED,https://fundf10.eastmoney.com/jjfl_016633.html,system
050021,BOSI,A,CHINEXT,创业板指,创业板指,equity_growth,CHINEXT,fund_company_disclosure,HIGH,2009-12-04,,APPROVED,https://fundf10.eastmoney.com/jjfl_050021.html,system
001592,TIAN_HONG,A,CHINEXT,创业板指,创业板指,equity_growth,CHINEXT,fund_company_disclosure,HIGH,2015-09-23,,APPROVED,https://fundf10.eastmoney.com/jjfl_001592.html,system
007466,HUA_TAI_BAO_RUI,A,DIVIDEND,红利低波,中证红利低波动,equity_dividend,DIVIDEND,fund_company_disclosure,HIGH,2019-04-19,,APPROVED,https://fundf10.eastmoney.com/jjfl_007466.html,system
007605,JIA_SHI,A,DIVIDEND,红利低波,沪深300红利低波动,equity_dividend,DIVIDEND,fund_company_disclosure,HIGH,2019-05-24,,APPROVED,https://fundf10.eastmoney.com/jjfl_007605.html,system
000216,HUA_AN,A,GOLD,黄金ETF,黄金现货价格,commodity,GOLD,fund_company_disclosure,HIGH,2013-08-29,,APPROVED,https://fundf10.eastmoney.com/jjfl_000216.html,system
000218,Guotai,A,GOLD,黄金ETF,黄金现货价格,commodity,GOLD,fund_company_disclosure,HIGH,2013-08-29,,APPROVED,https://fundf10.eastmoney.com/jjfl_000218.html,system
