fund_code,fund_name,subscription_fee_rate,subscription_confirmation_days,redemption_confirmation_days,redemption_settlement_days,minimum_holding_calendar_days,maximum_subscription_amount_per_order,subscription_open,redemption_open,rule_status,official_source,effective_from,effective_to,channel,source_url,verified_at
000008,嘉实中证500ETF联接A,0.012,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_000008.html,,,ALL,https://fundf10.eastmoney.com/jjfl_000008.html,
000015,华夏纯债债券A,0.008,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
000051,华夏沪深300ETF联接A,0.012,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_000051.html,,,ALL,https://fundf10.eastmoney.com/jjfl_000051.html,
000071,华夏恒生ETF联接A,0.012,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_000071.html,,,ALL,https://fundf10.eastmoney.com/jjfl_000071.html,
000148,易方达高等级信用债债券C,0.0,1,1,7,0,,1,1,OFFICIAL_VERIFIED,https://cdn.efunds.com.cn/owch/data/bulletin/20260519/%E6%98%93%E6%96%B9%E8%BE%BE%E9%AB%98%E7%AD%89%E7%BA%A7%E4%BF%A1%E7%94%A8%E5%80%BA%E5%80%BA%E5%88%B8%E5%9E%8B%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%EF%BC%88%E6%98%93%E6%96%B9%E8%BE%BE%E9%AB%98%E7%AD%89%E7%BA%A7%E4%BF%A1%E7%94%A8%E5%80%BA%E5%80%BA%E5%88%B8C%EF%BC%89%E5%9F%BA%E9%87%91%E4%BA%A7%E5%93%81%E8%B5%84%E6%96%99%E6%A6%82%E8%A6%81%E6%9B%B4%E6%96%B0.pdf,,,ALL,https://cdn.efunds.com.cn/owch/data/bulletin/20260519/%E6%98%93%E6%96%B9%E8%BE%BE%E9%AB%98%E7%AD%89%E7%BA%A7%E4%BF%A1%E7%94%A8%E5%80%BA%E5%80%BA%E5%88%B8%E5%9E%8B%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%EF%BC%88%E6%98%93%E6%96%B9%E8%BE%BE%E9%AB%98%E7%AD%89%E7%BA%A7%E4%BF%A1%E7%94%A8%E5%80%BA%E5%80%BA%E5%88%B8C%EF%BC%89%E5%9F%BA%E9%87%91%E4%BA%A7%E5%93%81%E8%B5%84%E6%96%99%E6%A6%82%E8%A6%81%E6%9B%B4%E6%96%B0.pdf,
000216,华安黄金ETF联接A,0.007,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_000216.html,,,ALL,https://fundf10.eastmoney.com/jjfl_000216.html,
000218,国泰黄金ETF联接A,0.007,1,1,7,0,,1,1,DISTRIBUTOR_VERIFIED,https://fundf10.eastmoney.com/jjfl_000218.html,,,ALL,https://fundf10.eastmoney.com/jjfl_000218.html,
000248,汇添富中证主要消费ETF联接A,0.012,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
000395,汇添富安心中国债券A,0.008,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
000948,华夏沪港通恒生ETF联接A,0.012,1,1,7,0,,1,1,CONSERVATIVE_ASSUMPTION,,,,ALL,,
