fund_code,minimum_holding_days,maximum_holding_days_exclusive,fee_rate,rule_status
260102,0,,0,PRODUCT_TYPE_ASSUMPTION
040003,0,,0,PRODUCT_TYPE_ASSUMPTION
217004,0,,0,PRODUCT_TYPE_ASSUMPTION
050003,0,,0,PRODUCT_TYPE_ASSUMPTION
202301,0,,0,PRODUCT_TYPE_ASSUMPTION
006663,0,7,0.015,OFFICIAL_VERIFIED
006663,7,,0,OFFICIAL_VERIFIED
001512,0,7,0.015,OFFICIAL_VERIFIED
001512,7,365,0.001,OFFICIAL_VERIFIED
001512,365,730,0.0005,OFFICIAL_VERIFIED
001512,730,,0,OFFICIAL_VERIFIED
005839,0,7,0.015,DISTRIBUTOR_VERIFIED
005839,7,,0,DISTRIBUTOR_VERIFIED
000148,0,7,0.015,OFFICIAL_VERIFIED
000148,7,30,0.0075,OFFICIAL_VERIFIED
000148,30,,0,OFFICIAL_VERIFIED
014430,0,7,0.015,CONSERVATIVE_ASSUMPTION
014430,7,,0,CONSERVATIVE_ASSUMPTION
000008,0,7,0.015,DISTRIBUTOR_VERIFIED
000008,7,365,0.005,DISTRIBUTOR_VERIFIED
000008,365,730,0.0025,DISTRIBUTOR_VERIFIED
000008,730,,0,DISTRIBUTOR_VERIFIED
000071,0,7,0.015,DISTRIBUTOR_VERIFIED
000071,7,,0.005,DISTRIBUTOR_VERIFIED
000218,0,7,0.015,DISTRIBUTOR_VERIFIED
000218,7,365,0.002,DISTRIBUTOR_VERIFIED
000218,365,730,0.0005,DISTRIBUTOR_VERIFIED
000218,730,,0,DISTRIBUTOR_VERIFIED
007466,0,7,0.015,DISTRIBUTOR_VERIFIED
007466,7,365,0.005,DISTRIBUTOR_VERIFIED
007466,365,730,0.0025,DISTRIBUTOR_VERIFIED
007466,730,,0,DISTRIBUTOR_VERIFIED
016633,0,7,0.015,DISTRIBUTOR_VERIFIED
016633,7,,0,DISTRIBUTOR_VERIFIED
021778,0,7,0.015,DISTRIBUTOR_VERIFIED
021778,7,,0,DISTRIBUTOR_VERIFIED
050021,0,7,0.015,DISTRIBUTOR_VERIFIED
050021,7,180,0.005,DISTRIBUTOR_VERIFIED
050021,180,,0,DISTRIBUTOR_VERIFIED
050025,0,7,0.015,DISTRIBUTOR_VERIFIED
050025,7,730,0.005,DISTRIBUTOR_VERIFIED
050025,730,1095,0.0025,DISTRIBUTOR_VERIFIED
050025,1095,,0,DISTRIBUTOR_VERIFIED
160706,0,7,0.015,DISTRIBUTOR_VERIFIED
160706,7,365,0.005,DISTRIBUTOR_VERIFIED
160706,365,730,0.0025,DISTRIBUTOR_VERIFIED
160706,730,,0,DISTRIBUTOR_VERIFIED
