fund_code,rule_version_id,effective_from,effective_to,channel,source_type,source_url,verified_at,rule_status,subscription_confirmation_days,redemption_confirmation_days,redemption_settlement_days,subscription_fee_rate,redemption_fee_tiers_json,subscription_fee_tiers_json,minimum_holding_calendar_days,maximum_subscription_amount_per_order,subscription_open,redemption_open,evidence_note
000008,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://fundf10.eastmoney.com/jjfl_000008.html,2026-08-01,DISTRIBUTOR_VERIFIED,1,1,7,0.012,"[{""fee_rate"": ""0.015"", ""fund_code"": ""000008"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.005"", ""fund_code"": ""000008"", ""maximum_holding_days_exclusive"": ""365"", ""minimum_holding_days"": ""7"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.0025"", ""fund_code"": ""000008"", ""maximum_holding_days_exclusive"": ""730"", ""minimum_holding_days"": ""365"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""000008"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""730"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]","[{""fee_rate"": ""0.012"", ""fixed_fee"": """", ""fund_code"": ""000008"", ""maximum_amount_exclusive"": ""500000"", ""minimum_amount"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.008"", ""fixed_fee"": """", ""fund_code"": ""000008"", ""maximum_amount_exclusive"": ""2000000"", ""minimum_amount"": ""500000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.004"", ""fixed_fee"": """", ""fund_code"": ""000008"", ""maximum_amount_exclusive"": ""5000000"", ""minimum_amount"": ""2000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": """", ""fixed_fee"": ""1000"", ""fund_code"": ""000008"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""5000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
000071,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://fundf10.eastmoney.com/jjfl_000071.html,2026-08-01,DISTRIBUTOR_VERIFIED,1,1,7,0.012,"[{""fee_rate"": ""0.015"", ""fund_code"": ""000071"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.005"", ""fund_code"": ""000071"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""7"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]","[{""fee_rate"": ""0.012"", ""fixed_fee"": """", ""fund_code"": ""000071"", ""maximum_amount_exclusive"": ""1000000"", ""minimum_amount"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.009"", ""fixed_fee"": """", ""fund_code"": ""000071"", ""maximum_amount_exclusive"": ""5000000"", ""minimum_amount"": ""1000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.006"", ""fixed_fee"": """", ""fund_code"": ""000071"", ""maximum_amount_exclusive"": ""10000000"", ""minimum_amount"": ""5000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": """", ""fixed_fee"": ""1000"", ""fund_code"": ""000071"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""10000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
000148,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://cdn.efunds.com.cn/owch/data/bulletin/20260519/%E6%98%93%E6%96%B9%E8%BE%BE%E9%AB%98%E7%AD%89%E7%BA%A7%E4%BF%A1%E7%94%A8%E5%80%BA%E5%80%BA%E5%88%B8%E5%9E%8B%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%EF%BC%88%E6%98%93%E6%96%B9%E8%BE%BE%E9%AB%98%E7%AD%89%E7%BA%A7%E4%BF%A1%E7%94%A8%E5%80%BA%E5%80%BA%E5%88%B8C%EF%BC%89%E5%9F%BA%E9%87%91%E4%BA%A7%E5%93%81%E8%B5%84%E6%96%99%E6%A6%82%E8%A6%81%E6%9B%B4%E6%96%B0.pdf,2026-08-01,OFFICIAL_VERIFIED,1,1,7,0.0,"[{""fee_rate"": ""0.015"", ""fund_code"": ""000148"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": ""0.0075"", ""fund_code"": ""000148"", ""maximum_holding_days_exclusive"": ""30"", ""minimum_holding_days"": ""7"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""000148"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""30"", ""rule_status"": ""OFFICIAL_VERIFIED""}]",[],0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
000218,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://fundf10.eastmoney.com/jjfl_000218.html,2026-08-01,DISTRIBUTOR_VERIFIED,1,1,7,0.007,"[{""fee_rate"": ""0.015"", ""fund_code"": ""000218"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.002"", ""fund_code"": ""000218"", ""maximum_holding_days_exclusive"": ""365"", ""minimum_holding_days"": ""7"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.0005"", ""fund_code"": ""000218"", ""maximum_holding_days_exclusive"": ""730"", ""minimum_holding_days"": ""365"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""000218"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""730"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]","[{""fee_rate"": ""0.007"", ""fixed_fee"": """", ""fund_code"": ""000218"", ""maximum_amount_exclusive"": ""1000000"", ""minimum_amount"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.003"", ""fixed_fee"": """", ""fund_code"": ""000218"", ""maximum_amount_exclusive"": ""2000000"", ""minimum_amount"": ""1000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.001"", ""fixed_fee"": """", ""fund_code"": ""000218"", ""maximum_amount_exclusive"": ""5000000"", ""minimum_amount"": ""2000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": """", ""fixed_fee"": ""1000"", ""fund_code"": ""000218"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""5000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
001512,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://cdn.efunds.com.cn/owch/data/bulletin/20260212/%E6%98%93%E6%96%B9%E8%BE%BE%E4%B8%AD%E5%80%BA3-5%E5%B9%B4%E6%9C%9F%E5%9B%BD%E5%80%BA%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%E5%9F%BA%E9%87%91%E4%BA%A7%E5%93%81%E8%B5%84%E6%96%99%E6%A6%82%E8%A6%81%E6%9B%B4%E6%96%B0.pdf,2026-08-01,OFFICIAL_VERIFIED,1,1,7,0.008,"[{""fee_rate"": ""0.015"", ""fund_code"": ""001512"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": ""0.001"", ""fund_code"": ""001512"", ""maximum_holding_days_exclusive"": ""365"", ""minimum_holding_days"": ""7"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": ""0.0005"", ""fund_code"": ""001512"", ""maximum_holding_days_exclusive"": ""730"", ""minimum_holding_days"": ""365"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""001512"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""730"", ""rule_status"": ""OFFICIAL_VERIFIED""}]","[{""fee_rate"": ""0.008"", ""fixed_fee"": """", ""fund_code"": ""001512"", ""maximum_amount_exclusive"": ""1000000"", ""minimum_amount"": ""0"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": ""0.005"", ""fixed_fee"": """", ""fund_code"": ""001512"", ""maximum_amount_exclusive"": ""2000000"", ""minimum_amount"": ""1000000"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": ""0.003"", ""fixed_fee"": """", ""fund_code"": ""001512"", ""maximum_amount_exclusive"": ""5000000"", ""minimum_amount"": ""2000000"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": """", ""fixed_fee"": ""1000"", ""fund_code"": ""001512"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""5000000"", ""rule_status"": ""OFFICIAL_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
006663,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://cdn.efunds.com.cn/owch/data/bulletin/20260519/%E6%98%93%E6%96%B9%E8%BE%BE%E5%AE%89%E6%82%A6%E8%B6%85%E7%9F%AD%E5%80%BA%E5%80%BA%E5%88%B8%E5%9E%8B%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%EF%BC%88%E6%98%93%E6%96%B9%E8%BE%BE%E5%AE%89%E6%82%A6%E8%B6%85%E7%9F%AD%E5%80%BA%E5%80%BA%E5%88%B8C%EF%BC%89%E5%9F%BA%E9%87%91%E4%BA%A7%E5%93%81%E8%B5%84%E6%96%99%E6%A6%82%E8%A6%81%E6%9B%B4%E6%96%B0.pdf,2026-08-01,OFFICIAL_VERIFIED,1,1,7,0.0,"[{""fee_rate"": ""0.015"", ""fund_code"": ""006663"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""OFFICIAL_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""006663"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""7"", ""rule_status"": ""OFFICIAL_VERIFIED""}]",[],0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
007466,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://fundf10.eastmoney.com/jjfl_007466.html,2026-08-01,DISTRIBUTOR_VERIFIED,1,1,7,0.012,"[{""fee_rate"": ""0.015"", ""fund_code"": ""007466"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.005"", ""fund_code"": ""007466"", ""maximum_holding_days_exclusive"": ""365"", ""minimum_holding_days"": ""7"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.0025"", ""fund_code"": ""007466"", ""maximum_holding_days_exclusive"": ""730"", ""minimum_holding_days"": ""365"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""007466"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""730"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]","[{""fee_rate"": ""0.012"", ""fixed_fee"": """", ""fund_code"": ""007466"", ""maximum_amount_exclusive"": ""1000000"", ""minimum_amount"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.010"", ""fixed_fee"": """", ""fund_code"": ""007466"", ""maximum_amount_exclusive"": ""3000000"", ""minimum_amount"": ""1000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.008"", ""fixed_fee"": """", ""fund_code"": ""007466"", ""maximum_amount_exclusive"": ""5000000"", ""minimum_amount"": ""3000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": """", ""fixed_fee"": ""1000"", ""fund_code"": ""007466"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""5000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
016633,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://fundf10.eastmoney.com/jjfl_016633.html,2026-08-01,DISTRIBUTOR_VERIFIED,1,1,7,0.012,"[{""fee_rate"": ""0.015"", ""fund_code"": ""016633"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""016633"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""7"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]","[{""fee_rate"": ""0.012"", ""fixed_fee"": """", ""fund_code"": ""016633"", ""maximum_amount_exclusive"": ""1000000"", ""minimum_amount"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.008"", ""fixed_fee"": """", ""fund_code"": ""016633"", ""maximum_amount_exclusive"": ""5000000"", ""minimum_amount"": ""1000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": """", ""fixed_fee"": ""1000"", ""fund_code"": ""016633"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""5000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
021778,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://fundf10.eastmoney.com/jjfl_021778.html,2026-08-01,DISTRIBUTOR_VERIFIED,2,2,7,0.0,"[{""fee_rate"": ""0.015"", ""fund_code"": ""021778"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""021778"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""7"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]","[{""fee_rate"": ""0"", ""fixed_fee"": """", ""fund_code"": ""021778"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
050021,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://fundf10.eastmoney.com/jjfl_050021.html,2026-08-01,DISTRIBUTOR_VERIFIED,1,1,7,0.008,"[{""fee_rate"": ""0.015"", ""fund_code"": ""050021"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.005"", ""fund_code"": ""050021"", ""maximum_holding_days_exclusive"": ""180"", ""minimum_holding_days"": ""7"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""050021"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""180"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]","[{""fee_rate"": ""0.008"", ""fixed_fee"": """", ""fund_code"": ""050021"", ""maximum_amount_exclusive"": ""1000000"", ""minimum_amount"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.003"", ""fixed_fee"": """", ""fund_code"": ""050021"", ""maximum_amount_exclusive"": ""5000000"", ""minimum_amount"": ""1000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": """", ""fixed_fee"": ""1000"", ""fund_code"": ""050021"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""5000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
050025,v20260801,2026-08-01,,ALL,CURRENT_SNAPSHOT,https://fundf10.eastmoney.com/jjfl_050025.html,2026-08-01,DISTRIBUTOR_VERIFIED,2,2,7,0.012,"[{""fee_rate"": ""0.015"", ""fund_code"": ""050025"", ""maximum_holding_days_exclusive"": ""7"", ""minimum_holding_days"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.005"", ""fund_code"": ""050025"", ""maximum_holding_days_exclusive"": ""730"", ""minimum_holding_days"": ""7"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.0025"", ""fund_code"": ""050025"", ""maximum_holding_days_exclusive"": ""1095"", ""minimum_holding_days"": ""730"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0"", ""fund_code"": ""050025"", ""maximum_holding_days_exclusive"": """", ""minimum_holding_days"": ""1095"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]","[{""fee_rate"": ""0.012"", ""fixed_fee"": """", ""fund_code"": ""050025"", ""maximum_amount_exclusive"": ""500000"", ""minimum_amount"": ""0"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.008"", ""fixed_fee"": """", ""fund_code"": ""050025"", ""maximum_amount_exclusive"": ""1000000"", ""minimum_amount"": ""500000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": ""0.003"", ""fixed_fee"": """", ""fund_code"": ""050025"", ""maximum_amount_exclusive"": ""5000000"", ""minimum_amount"": ""1000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}, {""fee_rate"": """", ""fixed_fee"": ""1000"", ""fund_code"": ""050025"", ""maximum_amount_exclusive"": """", ""minimum_amount"": ""5000000"", ""rule_status"": ""DISTRIBUTOR_VERIFIED""}]",0,,1,1,CURRENT_SNAPSHOT_ONLY no historical fee evidence; window starts at snapshot verification date
