symbol,name,asset_class,rows_valid,first_date,last_date,median_amount_60d
511990,华宝添益ETF,cash,3226,2013-04-09,2026-07-17,9553739315.0
511660,货币ETF建信,cash,2196,2017-01-03,2026-07-17,658830304.0
159001,货币ETF易方达,cash,2847,2014-10-30,2026-07-17,614429660.5
511700,货币ETF平安,cash,2370,2016-10-17,2026-07-17,72214483.5
511620,货币ETF国泰,cash,1280,2021-04-07,2026-07-17,24992061.5
518880,黄金ETF华安,commodity,3153,2013-07-29,2026-07-17,3149346554.0
512400,有色金属ETF南方,commodity,2152,2017-09-01,2026-07-17,1195297557.0
513350,标普油气ETF富国,commodity,637,2023-11-28,2026-07-17,1053531682.0
159518,标普油气ETF嘉实,commodity,645,2023-11-15,2026-07-17,878222552.0
159934,黄金ETF易方达,commodity,3060,2013-12-16,2026-07-17,820085281.0
159937,黄金ETF博时,commodity,2800,2015-01-08,2026-07-17,700622029.0
518800,黄金ETF国泰,commodity,3153,2013-07-29,2026-07-17,491387485.5
517520,黄金股ETF永赢,commodity,657,2023-11-01,2026-07-17,448825769.5
560860,工业有色ETF万家,commodity,812,2023-03-13,2026-07-17,420275163.0
159980,有色ETF大成,commodity,1590,2019-12-24,2026-07-17,414815924.0
518850,黄金ETF华夏,commodity,1483,2020-06-05,2026-07-17,407027734.5
516650,有色金属ETF华夏,commodity,1231,2021-06-21,2026-07-17,254584175.0
518660,黄金ETF工银,commodity,1488,2020-05-29,2026-07-17,204345887.0
159652,有色ETF汇添富,commodity,835,2023-02-08,2026-07-17,188805668.0
159562,黄金股ETF华夏,commodity,600,2024-01-22,2026-07-17,160853205.5
159876,有色ETF华宝,commodity,1288,2021-03-24,2026-07-17,91241460.0
159871,有色ETF银华,commodity,1284,2021-03-31,2026-07-17,59076264.5
159880,有色ETF鹏华,commodity,1288,2021-03-25,2026-07-17,55669174.5
159309,油气ETF汇添富,commodity,506,2024-06-18,2026-07-17,51739610.5
517400,黄金股ETF国泰,commodity,534,2024-05-08,2026-07-17,42059335.0
159321,黄金股ETF华安,commodity,515,2024-05-27,2026-07-17,36981767.0
159690,有色矿业ETF招商,commodity,734,2023-07-06,2026-07-17,36476203.0
510170,大宗商品ETF国联安,commodity,3718,2011-01-25,2026-07-17,24517865.0
561570,油气ETF华泰柏瑞,commodity,425,2024-10-17,2026-07-17,24492098.0
159812,黄金ETF前海开源,commodity,1488,2020-05-29,2026-07-17,20807280.5
159315,黄金股ETF工银,commodity,508,2024-06-14,2026-07-17,17007466.5
159881,有色金属ETF国泰,commodity,1223,2021-07-01,2026-07-17,14694826.5
561760,油气ETF博时,commodity,538,2024-04-29,2026-07-17,13076538.5
588000,科创50ETF华夏,equity_broad,1375,2020-11-16,2026-07-17,7293953185.5
588200,科创芯片ETF嘉实,equity_broad,904,2022-10-26,2026-07-17,5857412110.0
159915,创业板ETF易方达,equity_broad,3544,2011-12-09,2026-07-17,5797278773.5
510300,沪深300ETF华泰柏瑞,equity_broad,3436,2012-05-28,2026-07-17,4834807463.5
563360,A500ETF华泰柏瑞,equity_broad,428,2024-10-15,2026-07-17,4295737745.0
159338,中证A500ETF国泰,equity_broad,428,2024-10-15,2026-07-17,4263863026.0
510500,中证500ETF南方,equity_broad,3239,2013-03-15,2026-07-17,3822136536.0
159352,A500ETF南方,equity_broad,428,2024-10-15,2026-07-17,3340736944.0
512100,中证1000ETF南方,equity_broad,2355,2016-11-04,2026-07-17,3068626704.5
588170,科创半导体ETF华夏,equity_broad,311,2025-04-08,2026-07-17,2878946506.0
510050,上证50ETF华夏,equity_broad,5201,2005-02-23,2026-07-17,2876115996.5
512050,A500ETF华夏,equity_broad,405,2024-11-15,2026-07-17,2296326451.5
159949,创业板50ETF华安,equity_broad,2424,2016-07-22,2026-07-17,2240017947.0
159845,中证1000ETF华夏,equity_broad,1284,2021-03-31,2026-07-17,2015949261.0
588080,科创50ETF易方达,equity_broad,1375,2020-11-16,2026-07-17,1940059341.5
510310,沪深300ETF易方达,equity_broad,3235,2013-03-25,2026-07-17,1834005135.0
159361,A500ETF易方达,equity_broad,403,2024-11-19,2026-07-17,1789750238.0
159919,沪深300ETF嘉实,equity_broad,3434,2012-05-28,2026-07-17,1752919217.5
159363,创业板人工智能ETF华宝,equity_broad,384,2024-12-16,2026-07-17,1413756143.5
159967,创业板成长ETF华夏,equity_broad,1700,2019-07-15,2026-07-17,941289656.0
510330,沪深300ETF华夏,equity_broad,3278,2013-01-16,2026-07-17,907123265.0
560010,中证1000ETF广发,equity_broad,956,2022-08-04,2026-07-17,745209540.5
159922,中证500ETF嘉实,equity_broad,3241,2013-03-15,2026-07-17,715010873.0
588220,科创100ETF鹏华,equity_broad,684,2023-09-15,2026-07-17,645038920.5
512500,中证500ETF华夏,equity_broad,2660,2015-08-04,2026-07-17,637545160.5
159781,科创创业ETF易方达,equity_broad,1221,2021-07-05,2026-07-17,622745989.0
510210,上证指数ETF富国,equity_broad,3670,2011-03-25,2026-07-17,593920912.5
159633,中证1000ETF易方达,equity_broad,957,2022-08-04,2026-07-17,591153873.5
159351,A500ETF嘉实,equity_broad,428,2024-10-15,2026-07-17,562802662.0
588290,科创芯片ETF华安,equity_broad,904,2022-10-26,2026-07-17,555147306.0
588710,科创半导体设备ETF华泰柏瑞,equity_broad,274,2025-06-04,2026-07-17,535936766.5
563300,中证2000ETF华泰柏瑞,equity_broad,685,2023-09-14,2026-07-17,532415019.0
159381,创业板人工智能ETF华夏,equity_broad,321,2025-03-24,2026-07-17,523266933.0
159952,创业板ETF广发,equity_broad,2212,2017-05-19,2026-07-17,517519077.5
563220,A500ETF富国,equity_broad,428,2024-10-15,2026-07-17,501919429.5
563800,A500ETF广发,equity_broad,404,2024-11-18,2026-07-17,482609539.5
588050,科创50ETF工银,equity_broad,1375,2020-11-16,2026-07-17,469907830.5
159901,深证100ETF易方达,equity_broad,4914,2006-04-24,2026-07-17,439430465.5
588790,科创AIETF博时,equity_broad,367,2025-01-09,2026-07-17,431215316.5
510100,上证50ETF易方达,equity_broad,1643,2019-10-09,2026-07-17,430944221.5
588060,科创50ETF广发,equity_broad,1203,2021-07-29,2026-07-17,425330976.5
588750,科创芯片ETF汇添富,equity_broad,376,2024-12-26,2026-07-17,387007493.5
