date,close,total_return_proxy,cumulative_dividend,split_factor
2021-06-17,0.899,0.899,0.0,1.0
2021-06-18,0.885,0.885,0.0,1.0
2021-06-21,0.898,0.898,0.0,1.0
2021-06-22,0.924,0.924,0.0,1.0
2021-06-23,0.912,0.912,0.0,1.0
2021-06-24,0.917,0.917,0.0,1.0
2021-06-25,0.935,0.935,0.0,1.0
2021-06-28,0.935,0.935,0.0,1.0
2021-06-29,0.932,0.932,0.0,1.0
2021-06-30,0.935,0.935,0.0,1.0
2021-07-01,0.93,0.93,0.0,1.0
2021-07-02,0.905,0.905,0.0,1.0
2021-07-05,0.891,0.891,0.0,1.0
2021-07-06,0.895,0.895,0.0,1.0
2021-07-07,0.867,0.867,0.0,1.0
2021-07-08,0.831,0.831,0.0,1.0
2021-07-09,0.823,0.823,0.0,1.0
2021-07-12,0.828,0.828,0.0,1.0
2021-07-13,0.831,0.831,0.0,1.0
2021-07-14,0.841,0.841,0.0,1.0
2021-07-15,0.835,0.835,0.0,1.0
2021-07-16,0.817,0.817,0.0,1.0
2021-07-19,0.793,0.793,0.0,1.0
2021-07-20,0.766,0.766,0.0,1.0
2021-07-21,0.779,0.779,0.0,1.0
2021-07-22,0.817,0.817,0.0,1.0
2021-07-23,0.761,0.761,0.0,1.0
2021-07-26,0.685,0.685,0.0,1.0
2021-07-27,0.617,0.617,0.0,1.0
2021-07-28,0.555,0.555,0.0,1.0
2021-07-29,0.543,0.543,0.0,1.0
2021-07-30,0.534,0.534,0.0,1.0
2021-08-02,0.54,0.54,0.0,1.0
2021-08-03,0.533,0.533,0.0,1.0
2021-08-04,0.545,0.545,0.0,1.0
2021-08-05,0.525,0.525,0.0,1.0
2021-08-06,0.522,0.522,0.0,1.0
2021-08-09,0.534,0.534,0.0,1.0
2021-08-10,0.552,0.552,0.0,1.0
2021-08-11,0.545,0.545,0.0,1.0
2021-08-12,0.538,0.538,0.0,1.0
2021-08-13,0.527,0.527,0.0,1.0
2021-08-16,0.523,0.523,0.0,1.0
2021-08-17,0.506,0.506,0.0,1.0
2021-08-18,0.51,0.51,0.0,1.0
2021-08-19,0.51,0.51,0.0,1.0
2021-08-20,0.493,0.493,0.0,1.0
2021-08-23,0.503,0.503,0.0,1.0
2021-08-24,0.504,0.504,0.0,1.0
2021-08-25,0.526,0.526,0.0,1.0
2021-08-26,0.512,0.512,0.0,1.0
2021-08-27,0.508,0.508,0.0,1.0
2021-08-30,0.499,0.499,0.0,1.0
2021-08-31,0.504,0.504,0.0,1.0
2021-09-01,0.517,0.517,0.0,1.0
2021-09-02,0.516,0.516,0.0,1.0
2021-09-03,0.514,0.514,0.0,1.0
2021-09-06,0.523,0.523,0.0,1.0
2021-09-07,0.526,0.526,0.0,1.0
2021-09-08,0.54,0.54,0.0,1.0
2021-09-09,0.535,0.535,0.0,1.0
2021-09-10,0.533,0.533,0.0,1.0
2021-09-13,0.52,0.52,0.0,1.0
2021-09-14,0.514,0.514,0.0,1.0
2021-09-15,0.506,0.506,0.0,1.0
2021-09-16,0.492,0.492,0.0,1.0
2021-09-17,0.498,0.498,0.0,1.0
2021-09-22,0.497,0.497,0.0,1.0
2021-09-23,0.506,0.506,0.0,1.0
2021-09-24,0.502,0.502,0.0,1.0
2021-09-27,0.492,0.492,0.0,1.0
2021-09-28,0.493,0.493,0.0,1.0
2021-09-29,0.482,0.482,0.0,1.0
2021-09-30,0.479,0.479,0.0,1.0
2021-10-08,0.5,0.5,0.0,1.0
2021-10-11,0.502,0.502,0.0,1.0
2021-10-12,0.499,0.499,0.0,1.0
2021-10-13,0.511,0.511,0.0,1.0
2021-10-14,0.521,0.521,0.0,1.0
2021-10-15,0.519,0.519,0.0,1.0
2021-10-18,0.523,0.523,0.0,1.0
2021-10-19,0.518,0.518,0.0,1.0
2021-10-20,0.519,0.519,0.0,1.0
2021-10-21,0.513,0.513,0.0,1.0
2021-10-22,0.513,0.513,0.0,1.0
2021-10-25,0.505,0.505,0.0,1.0
2021-10-26,0.5,0.5,0.0,1.0
2021-10-27,0.481,0.481,0.0,1.0
2021-10-28,0.48,0.48,0.0,1.0
2021-10-29,0.481,0.481,0.0,1.0
2021-11-01,0.48,0.48,0.0,1.0
2021-11-02,0.478,0.478,0.0,1.0
2021-11-03,0.479,0.479,0.0,1.0
2021-11-04,0.478,0.478,0.0,1.0
2021-11-05,0.473,0.473,0.0,1.0
2021-11-08,0.469,0.469,0.0,1.0
2021-11-09,0.476,0.476,0.0,1.0
2021-11-10,0.472,0.472,0.0,1.0
2021-11-11,0.485,0.485,0.0,1.0
2021-11-12,0.488,0.488,0.0,1.0
2021-11-15,0.495,0.495,0.0,1.0
2021-11-16,0.494,0.494,0.0,1.0
2021-11-17,0.507,0.507,0.0,1.0
2021-11-18,0.496,0.496,0.0,1.0
2021-11-19,0.492,0.492,0.0,1.0
2021-11-22,0.497,0.497,0.0,1.0
2021-11-23,0.503,0.503,0.0,1.0
2021-11-24,0.502,0.502,0.0,1.0
2021-11-25,0.521,0.521,0.0,1.0
2021-11-26,0.511,0.511,0.0,1.0
2021-11-29,0.508,0.508,0.0,1.0
2021-11-30,0.499,0.499,0.0,1.0
2021-12-01,0.496,0.496,0.0,1.0
2021-12-02,0.486,0.486,0.0,1.0
2021-12-03,0.483,0.483,0.0,1.0
2021-12-06,0.465,0.465,0.0,1.0
2021-12-07,0.465,0.465,0.0,1.0
2021-12-08,0.47,0.47,0.0,1.0
2021-12-09,0.496,0.496,0.0,1.0
2021-12-10,0.49,0.49,0.0,1.0
2021-12-13,0.492,0.492,0.0,1.0
2021-12-14,0.482,0.482,0.0,1.0
2021-12-15,0.476,0.476,0.0,1.0
2021-12-16,0.48,0.48,0.0,1.0
2021-12-17,0.466,0.466,0.0,1.0
2021-12-20,0.455,0.455,0.0,1.0
2021-12-21,0.458,0.458,0.0,1.0
2021-12-22,0.458,0.458,0.0,1.0
2021-12-23,0.458,0.458,0.0,1.0
2021-12-24,0.456,0.456,0.0,1.0
2021-12-27,0.455,0.455,0.0,1.0
2021-12-28,0.456,0.456,0.0,1.0
2021-12-29,0.447,0.447,0.0,1.0
2021-12-30,0.443,0.443,0.0,1.0
2021-12-31,0.457,0.457,0.0,1.0
2022-01-04,0.463,0.463,0.0,1.0
2022-01-05,0.451,0.451,0.0,1.0
2022-01-06,0.447,0.447,0.0,1.0
2022-01-07,0.446,0.446,0.0,1.0
2022-01-10,0.449,0.449,0.0,1.0
2022-01-11,0.443,0.443,0.0,1.0
2022-01-12,0.451,0.451,0.0,1.0
2022-01-13,0.447,0.447,0.0,1.0
2022-01-14,0.44,0.44,0.0,1.0
2022-01-17,0.443,0.443,0.0,1.0
2022-01-18,0.444,0.444,0.0,1.0
2022-01-19,0.441,0.441,0.0,1.0
2022-01-20,0.442,0.442,0.0,1.0
2022-01-21,0.432,0.432,0.0,1.0
2022-01-24,0.425,0.425,0.0,1.0
2022-01-25,0.402,0.402,0.0,1.0
2022-01-26,0.388,0.388,0.0,1.0
2022-01-27,0.358,0.358,0.0,1.0
2022-01-28,0.368,0.368,0.0,1.0
2022-02-07,0.383,0.383,0.0,1.0
2022-02-08,0.39,0.39,0.0,1.0
2022-02-09,0.403,0.403,0.0,1.0
2022-02-10,0.409,0.409,0.0,1.0
2022-02-11,0.402,0.402,0.0,1.0
2022-02-14,0.398,0.398,0.0,1.0
2022-02-15,0.397,0.397,0.0,1.0
2022-02-16,0.41,0.41,0.0,1.0
2022-02-17,0.407,0.407,0.0,1.0
2022-02-18,0.409,0.409,0.0,1.0
2022-02-21,0.412,0.412,0.0,1.0
2022-02-22,0.4,0.4,0.0,1.0
2022-02-23,0.41,0.41,0.0,1.0
2022-02-24,0.397,0.397,0.0,1.0
2022-02-25,0.395,0.395,0.0,1.0
2022-02-28,0.382,0.382,0.0,1.0
2022-03-01,0.393,0.393,0.0,1.0
2022-03-02,0.392,0.392,0.0,1.0
2022-03-03,0.383,0.383,0.0,1.0
2022-03-04,0.373,0.373,0.0,1.0
2022-03-07,0.363,0.363,0.0,1.0
2022-03-08,0.355,0.355,0.0,1.0
2022-03-09,0.347,0.347,0.0,1.0
2022-03-10,0.354,0.354,0.0,1.0
2022-03-11,0.352,0.352,0.0,1.0
2022-03-14,0.336,0.336,0.0,1.0
2022-03-15,0.307,0.307,0.0,1.0
2022-03-16,0.334,0.334,0.0,1.0
2022-03-17,0.346,0.346,0.0,1.0
2022-03-18,0.352,0.352,0.0,1.0
2022-03-21,0.351,0.351,0.0,1.0
2022-03-22,0.355,0.355,0.0,1.0
2022-03-23,0.365,0.365,0.0,1.0
2022-03-24,0.363,0.363,0.0,1.0
2022-03-25,0.35,0.35,0.0,1.0
2022-03-28,0.357,0.357,0.0,1.0
2022-03-29,0.355,0.355,0.0,1.0
2022-03-30,0.358,0.358,0.0,1.0
2022-03-31,0.352,0.352,0.0,1.0
2022-04-01,0.349,0.349,0.0,1.0
2022-04-06,0.365,0.365,0.0,1.0
2022-04-07,0.355,0.355,0.0,1.0
2022-04-08,0.347,0.347,0.0,1.0
2022-04-11,0.333,0.333,0.0,1.0
2022-04-12,0.344,0.344,0.0,1.0
2022-04-13,0.335,0.335,0.0,1.0
2022-04-14,0.338,0.338,0.0,1.0
2022-04-15,0.33,0.33,0.0,1.0
2022-04-18,0.33,0.33,0.0,1.0
2022-04-19,0.326,0.326,0.0,1.0
2022-04-20,0.326,0.326,0.0,1.0
2022-04-21,0.315,0.315,0.0,1.0
2022-04-22,0.312,0.312,0.0,1.0
2022-04-25,0.294,0.294,0.0,1.0
2022-04-26,0.293,0.293,0.0,1.0
2022-04-27,0.297,0.297,0.0,1.0
2022-04-28,0.296,0.296,0.0,1.0
2022-04-29,0.32,0.32,0.0,1.0
2022-05-05,0.322,0.322,0.0,1.0
2022-05-06,0.317,0.317,0.0,1.0
2022-05-09,0.317,0.317,0.0,1.0
