signal_date,execution_date,selected,selected_count
2018-01-05,2018-01-08,159001,1
2018-01-12,2018-01-15,159001,1
2018-01-19,2018-01-22,159001,1
2018-01-26,2018-01-29,159001,1
2018-02-02,2018-02-05,159001,1
2018-02-09,2018-02-12,159001,1
2018-02-14,2018-02-22,159001,1
2018-02-23,2018-02-26,159001,1
2018-03-02,2018-03-05,159001,1
2018-03-09,2018-03-12,159001,1
2018-03-16,2018-03-19,159001,1
2018-03-23,2018-03-26,159001,1
2018-03-30,2018-04-02,159001,1
2018-04-04,2018-04-09,159001,1
2018-04-13,2018-04-16,159001,1
2018-04-20,2018-04-23,159001,1
2018-04-27,2018-05-02,159001,1
2018-05-04,2018-05-07,159001,1
2018-05-11,2018-05-14,159001,1
2018-05-18,2018-05-21,159001,1
2018-05-25,2018-05-28,159001,1
2018-06-01,2018-06-04,159001,1
2018-06-08,2018-06-11,159001,1
2018-06-15,2018-06-19,159001,1
2018-06-22,2018-06-25,159001,1
2018-06-29,2018-07-02,159001,1
2018-07-06,2018-07-09,159001,1
2018-07-13,2018-07-16,159001,1
2018-07-20,2018-07-23,159001,1
2018-07-27,2018-07-30,159001,1
2018-08-03,2018-08-06,159001,1
2018-08-10,2018-08-13,159001,1
2018-08-17,2018-08-20,159001,1
2018-08-24,2018-08-27,159001,1
2018-08-31,2018-09-03,159001,1
2018-09-07,2018-09-10,159001,1
2018-09-14,2018-09-17,159001,1
2018-09-21,2018-09-25,159001,1
2018-09-28,2018-10-08,159001,1
2018-10-12,2018-10-15,159001,1
2018-10-19,2018-10-22,159001,1
2018-10-26,2018-10-29,159001,1
2018-11-02,2018-11-05,159001,1
2018-11-09,2018-11-12,159001,1
2018-11-16,2018-11-19,159001,1
2018-11-23,2018-11-26,159001,1
2018-11-30,2018-12-03,159001,1
2018-12-07,2018-12-10,159001,1
2018-12-14,2018-12-17,159001,1
2018-12-21,2018-12-24,159001,1
2018-12-28,2019-01-02,159001,1
2019-01-04,2019-01-07,159001,1
2019-01-11,2019-01-14,159001,1
2019-01-18,2019-01-21,"511880,159937,159934,518880,512000,512880",6
2019-01-25,2019-01-28,"511880,159934,159937,518800,512000,512880",6
2019-02-01,2019-02-11,"511880,518880,518800,159937,512000,512880,159920,510880,510050",9
2019-02-15,2019-02-18,"511880,518800,159937,518880,512000,512880,159920,510880,510050,513500",10
2019-02-22,2019-02-25,"511880,159937,518800,518880,512000,512880,159920,510880,159901,510310",10
2019-03-01,2019-03-04,"511880,159937,518800,518880,510880,512880,512000,159901,510310,510300",10
2019-03-08,2019-03-11,"511880,159952,159915,512000,512880,159934,159901,518800,159937,510880",10
2019-03-15,2019-03-18,"511880,159901,159920,159922,159952,512880,512000,510880,159937,518800",10
2019-03-22,2019-03-25,"511880,159922,159901,510500,512880,512000,513100,159920,513500,510880",10
2019-03-29,2019-04-01,"511880,159901,510310,510300,512880,512000,513500,513100,159920,510880",10
2019-04-04,2019-04-08,"511880,159905,159901,510310,510300,512000,512880,159920,510880,513100",10
2019-04-12,2019-04-15,"511880,159905,512100,159922,512500,512000,512880,510880,159920,513100",10
2019-04-19,2019-04-22,"511880,159905,512100,159901,512500,159920,510880,512000,512880,513100",10
2019-04-26,2019-04-29,"511880,513100,513500,159905,159901,159920,159952,159915,513050,512000",10
2019-04-30,2019-05-06,"511880,513100,159905,513500,512070,159901,159952,510310,159920,512010",10
2019-05-10,2019-05-13,"511880,513100,159905,512070,513500,159901,510310,512100,512000,159920",10
2019-05-17,2019-05-20,"511880,513100,513500,159905,512070,510310,510050,159901,512800,159920",10
2019-05-24,2019-05-27,"511880,513500,513100,159937,518880,159905,518800,512800,159901,510310",10
2019-05-31,2019-06-03,"511880,159937,518880,518800,159905,513100,513500,512070,159901,510050",10
2019-06-06,2019-06-10,"511880,518880,159937,518800,513500,513100,159905,512800,510050,512070",10
2019-06-14,2019-06-17,"511880,518800,159937,518880,513500,512800,159905,513100,510050,510310",10
2019-06-21,2019-06-24,"511880,159937,518800,518880,512800,510050,159905,513500,513100,510310",10
2019-06-28,2019-07-01,"511880,513500,159937,518880,518800,510050,513100,159905,512800,510310",10
2019-07-05,2019-07-08,"511880,513500,513100,518880,159937,518800,159905,510050,510310,512800",10
2019-07-12,2019-07-15,"511880,513500,513100,518880,159937,518800,159905,510050,512800,510310",10
2019-07-19,2019-07-22,"511880,159937,513500,518800,518880,513100,159905,510050,512800,159920",10
2019-07-26,2019-07-29,"511880,159937,518880,518800,513500,510050,159905,512800,510310,513100",10
2019-08-02,2019-08-05,"511880,159937,518880,159905,159934,513500,510050,159901,510310,513100",10
2019-08-09,2019-08-12,"511880,518880,159937,518800,513500,513100,510050,159905,512800,159901",10
2019-08-16,2019-08-19,"511880,518880,159937,159934,159905,510050,512010,159901,159952,513100",10
2019-08-23,2019-08-26,"511880,518880,159937,518800,159905,512010,513100,513500,510050,159901",10
2019-08-30,2019-09-02,"511880,512010,518880,518800,159934,159905,512660,159901,510330,513100",10
2019-09-06,2019-09-09,"511880,512010,159905,512660,159901,510330,510310,518880,159934,518800",10
2019-09-12,2019-09-16,"511880,518880,159934,518800,512660,159901,513500,159905,159915,159952",10
2019-09-20,2019-09-23,"511880,513500,518880,159934,518800,159901,513100,159915,159952,159905",10
2019-09-27,2019-09-30,"511880,518880,518800,159934,513500,512010,513100,159915,159901,159949",10
2019-09-30,2019-10-08,"511880,518800,518880,159934,513500,512010,513100,159915,159952,159949",10
2019-10-11,2019-10-14,"511880,159934,518880,159937,512010,159905,159901,159949,512800,510050",10
2019-10-18,2019-10-21,"511880,518880,518800,159937,512010,513500,513100,159949,159901,159915",10
2019-10-25,2019-10-28,"511880,518800,518880,159937,512010,159905,159901,159949,513500,159915",10
2019-11-01,2019-11-04,"511880,518880,159937,159934,512010,159905,159901,513500,159952,159949",10
2019-11-08,2019-11-11,"511880,512010,513500,159901,159949,159952,159905,513100,513050,159920",10
2019-11-15,2019-11-18,"511880,513500,513100,512010,159901,510050,159949,159905,513050,159937",10
2019-11-22,2019-11-25,"511880,513100,513500,512010,159949,159901,512800,159952,159905,159934",10
2019-11-29,2019-12-02,"511880,513100,513500,513050,159901,159949,512800,159905,159915,518880",10
2019-12-06,2019-12-09,"511880,513100,513500,513050,159949,159901,159915,512010,159905,159934",10
2019-12-13,2019-12-16,"511880,513100,513050,159949,513500,159901,159915,159905,512800,159920",10
2019-12-20,2019-12-23,"511880,513050,513100,159901,159905,513500,159949,512800,159952,159920",10
2019-12-27,2019-12-30,"511880,513050,513100,513500,159905,159901,159949,512800,159920,159919",10
2020-01-03,2020-01-06,"511880,513100,513500,513050,159901,159949,159905,159919,159920,512800",10
2020-01-10,2020-01-13,"511880,513100,513050,159949,159901,159905,513500,159915,512010,510880",10
2020-01-17,2020-01-20,"511880,513100,159949,159901,513050,159915,159905,512010,513500,512400",10
2020-01-23,2020-02-03,"511880,513100,159949,513500,159915,159952,513050,512400,512010,159937",10
2020-02-07,2020-02-10,"511880,513100,513500,513050,159949,159915,159952,512010,159937,518880",10
2020-02-14,2020-02-17,"511880,513100,513050,159949,159915,513500,159952,159937,518880,159934",10
2020-02-21,2020-02-24,"511880,159937,518800,159934,159949,159915,513050,159952,513100,513500",10
2020-02-28,2020-03-02,"511880,518880,159937,518800,159949,159915,159952,513050,513100,512660",10
2020-03-06,2020-03-09,"511880,159949,159915,159952,513050,512010,518880,159937,518800,513100",10
2020-03-13,2020-03-16,"511880,159949,159915,159952,518880,518800,159937,512660,513050,513100",10
2020-03-20,2020-03-23,"511880,159949,159915,159952,513100,159937,518880,159934,512660,512010",10
2020-03-27,2020-03-30,"511880,159949,512010,518800,518880,159937,159915,159952,513050,513100",10
2020-04-03,2020-04-07,"511880,159949,512010,159937,518800,518880,159915,159952,513050,513100",10
2020-04-10,2020-04-13,"511880,512010,159949,159915,159952,159937,518880,518800,513050,513100",10
