signal_date,execution_date,selected,selected_count
2005-02-25,2005-02-28,,0
2005-03-04,2005-03-07,,0
2005-03-11,2005-03-14,,0
2005-03-18,2005-03-21,,0
2005-03-25,2005-03-28,,0
2005-04-01,2005-04-04,,0
2005-04-08,2005-04-11,,0
2005-04-15,2005-04-18,,0
2005-04-22,2005-04-25,,0
2005-04-29,2005-05-09,,0
2005-05-13,2005-05-16,,0
2005-05-20,2005-05-23,,0
2005-05-27,2005-05-30,,0
2005-06-03,2005-06-06,,0
2005-06-10,2005-06-13,,0
2005-06-17,2005-06-20,,0
2005-06-24,2005-06-27,,0
2005-07-01,2005-07-04,,0
2005-07-08,2005-07-11,,0
2005-07-15,2005-07-18,,0
2005-07-22,2005-07-25,,0
2005-07-29,2005-08-01,,0
2005-08-05,2005-08-08,,0
2005-08-12,2005-08-15,,0
2005-08-19,2005-08-22,,0
2005-08-26,2005-08-29,,0
2005-09-02,2005-09-05,,0
2005-09-09,2005-09-12,,0
2005-09-16,2005-09-19,,0
2005-09-23,2005-09-26,,0
2005-09-30,2005-10-10,,0
2005-10-14,2005-10-17,,0
2005-10-21,2005-10-24,,0
2005-10-28,2005-10-31,,0
2005-11-04,2005-11-07,,0
2005-11-11,2005-11-14,,0
2005-11-18,2005-11-21,,0
2005-11-25,2005-11-28,,0
2005-12-02,2005-12-05,,0
2005-12-09,2005-12-12,,0
2005-12-16,2005-12-19,,0
2005-12-23,2005-12-26,,0
2005-12-30,2006-01-04,,0
2006-01-06,2006-01-09,,0
2006-01-13,2006-01-16,,0
2006-01-20,2006-01-23,,0
2006-01-25,2006-02-06,,0
2006-02-10,2006-02-13,,0
2006-02-17,2006-02-20,,0
2006-02-24,2006-02-27,,0
2006-03-03,2006-03-06,,0
2006-03-10,2006-03-13,,0
2006-03-17,2006-03-20,,0
2006-03-24,2006-03-27,,0
2006-03-31,2006-04-03,,0
2006-04-07,2006-04-10,,0
2006-04-14,2006-04-17,,0
2006-04-21,2006-04-24,,0
2006-04-28,2006-05-08,,0
2006-05-12,2006-05-15,,0
2006-05-19,2006-05-22,,0
2006-05-26,2006-05-29,,0
2006-06-02,2006-06-05,,0
2006-06-09,2006-06-12,,0
2006-06-16,2006-06-19,,0
2006-06-23,2006-06-26,,0
2006-06-30,2006-07-03,,0
2006-07-07,2006-07-10,,0
2006-07-14,2006-07-17,,0
2006-07-21,2006-07-24,,0
2006-07-28,2006-07-31,,0
2006-08-04,2006-08-07,,0
2006-08-11,2006-08-14,,0
2006-08-18,2006-08-21,,0
2006-08-25,2006-08-28,,0
2006-09-01,2006-09-04,,0
2006-09-08,2006-09-11,,0
2006-09-15,2006-09-18,,0
2006-09-22,2006-09-25,,0
2006-09-29,2006-10-09,,0
2006-10-13,2006-10-16,,0
2006-10-20,2006-10-23,,0
2006-10-27,2006-10-30,,0
2006-11-03,2006-11-06,,0
2006-11-10,2006-11-13,,0
2006-11-17,2006-11-20,,0
2006-11-24,2006-11-27,,0
2006-12-01,2006-12-04,,0
2006-12-08,2006-12-11,,0
2006-12-15,2006-12-18,,0
2006-12-22,2006-12-25,,0
2006-12-29,2007-01-04,,0
2007-01-05,2007-01-08,,0
2007-01-12,2007-01-15,,0
2007-01-19,2007-01-22,,0
2007-01-26,2007-01-29,,0
2007-02-02,2007-02-05,,0
2007-02-09,2007-02-12,,0
2007-02-16,2007-02-26,,0
2007-03-02,2007-03-05,,0
2007-03-09,2007-03-12,,0
2007-03-16,2007-03-19,,0
2007-03-23,2007-03-26,,0
2007-03-30,2007-04-02,,0
2007-04-06,2007-04-09,,0
2007-04-13,2007-04-16,,0
2007-04-20,2007-04-23,,0
2007-04-27,2007-04-30,,0
2007-04-30,2007-05-08,,0
2007-05-11,2007-05-14,,0
2007-05-18,2007-05-21,"159901,510050",2
2007-05-25,2007-05-28,"159901,510050",2
2007-06-01,2007-06-04,"159901,510050",2
2007-06-08,2007-06-11,"159901,510050",2
2007-06-15,2007-06-18,"159901,510050",2
2007-06-22,2007-06-25,"159901,510180",2
2007-06-29,2007-07-02,"159901,510050",2
2007-07-06,2007-07-09,"159901,510050",2
2007-07-13,2007-07-16,"159901,510050",2
2007-07-20,2007-07-23,"159901,510050",2
2007-07-27,2007-07-30,"159901,510180",2
2007-08-03,2007-08-06,"159901,510180",2
2007-08-10,2007-08-13,"159901,510180",2
2007-08-17,2007-08-20,"159901,510180",2
2007-08-24,2007-08-27,"159901,510180",2
2007-08-31,2007-09-03,"159901,510180",2
2007-09-07,2007-09-10,"159901,510180",2
2007-09-14,2007-09-17,"159901,510180",2
2007-09-21,2007-09-24,"159901,510180,159902",3
2007-09-28,2007-10-08,"510180,159901,159902",3
2007-10-12,2007-10-15,"510180,159901,159902",3
2007-10-19,2007-10-22,"510180,159901,159902",3
2007-10-26,2007-10-29,"159901,510180,159902",3
2007-11-02,2007-11-05,"510180,159901,159902",3
2007-11-09,2007-11-12,"510050,510180",2
2007-11-16,2007-11-19,"510050,510180",2
2007-11-23,2007-11-26,"510050,510180",2
2007-11-30,2007-12-03,510050,1
2007-12-07,2007-12-10,"510050,510180,159902",3
2007-12-14,2007-12-17,"510050,510180,159902",3
2007-12-21,2007-12-24,"159902,510180,510050",3
2007-12-28,2008-01-02,"159902,510050,510180",3
2008-01-04,2008-01-07,"159902,510180,510050",3
2008-01-11,2008-01-14,"159901,159902,510050",3
2008-01-18,2008-01-21,"159902,159901,510180",3
2008-01-25,2008-01-28,"159902,159901",2
2008-02-01,2008-02-04,,0
2008-02-05,2008-02-13,159902,1
2008-02-15,2008-02-18,159902,1
2008-02-22,2008-02-25,159902,1
2008-02-29,2008-03-03,159902,1
